community_id,name,coordinates,region,population,households,healthcare_availability,is_active,updated_at,community_polygon
1,Conocoto,"-0.29165, -78.47767",Quito,100000,156,TRUE,TRUE,2024-12-19,"POLYGON ((-78.46955839770364 -0.2512732521315115, -78.47970961782326 -0.2512732521315115, -78.47970961782326 -0.25868798296342277, -78.46955839770364 -0.25868798296342277, -78.46955839770364 -0.2512732521315115))"
2,Floresta,"-0.205843, -78.480738",Quito,5758,100,TRUE,TRUE,2024-12-23,"POLYGON ((-78.48903878960722 -0.21285334882502127, -78.47701389899679 -0.21285334882502127, -78.47701389899679 -0.2060014117998179, -78.48903878960722 -0.2060014117998179, -78.48903878960722 -0.21285334882502127))"
3,Kapawi,"-0.2322552, -76.501180",Pastaza,120,24,TRUE,TRUE,2025-07-31,"POLYGON ((-76.83667201827966 -2.539703145693159, -76.83726620983316 -2.539908763592951, -76.83725539608457 -2.540129236739568, -76.83717757114142 -2.540462995091308, -76.83703418496133 -2.54070319195963, -76.83694468196349 -2.540842067460486, -76.83689685903182 -2.540903358236186, -76.83670748598016 -2.540904990454689, -76.83657140933002 -2.540885323223083, -76.83642081315156 -2.540853801241129, -76.83625192120762 -2.540801340127347, -76.83606528696147 -2.540761567069326, -76.835975494797 -2.540733459650407, -76.83641305900248 -2.539664987714535, -76.83667201827966 -2.539703145693159))"
4,Sharamentsa,"-0.2274334, -76.594837",Pastaza,,,FALSE,TRUE,2025-07-31,"POLYGON ((-76.99149726900849 -2.464699836301905, -76.99093150238616 -2.461123488083851, -76.99700871727684 -2.460845973267284, -76.99877461424246 -2.462130546357207, -76.99693706385671 -2.463290869439381, -76.99149726900849 -2.464699836301905))"
5,Wayusentsa,"-0.2262727 -76.55009",Pastaza,,,,TRUE,2025-07-31,"POLYGON ((-76.92111134607117 -2.446270988151018, -76.91935914797702 -2.447614885444698, -76.91681992335495 -2.447659338143819, -76.91182854377759 -2.447851491862648, -76.90838631154082 -2.447391292645738, -76.91000620455762 -2.440557215698716, -76.91560742305306 -2.435942464261442, -76.91934789507935 -2.434648767757915, -76.92245955612087 -2.434547502121212, -76.92111134607117 -2.446270988151018))"
